Designator,Mid X,Mid Y,Rotation,Layer
D1,83.06,-43.74,90.0,bottom
D10,154.4975,-62.79,90.0,bottom
D11,173.5475,-62.79,90.0,bottom
D12,192.5975,-62.79,90.0,bottom
D13,73.535,-81.84,90.0,bottom
D14,94.96625,-81.84,90.0,bottom
D15,116.3975,-81.84,90.0,bottom
D16,135.4475,-81.84,90.0,bottom
D17,154.4975,-81.84,90.0,bottom
D18,173.5475,-81.84,90.0,bottom
D19,192.5975,-81.84,90.0,bottom
D2,116.3975,-43.74,90.0,bottom
D20,73.535,-100.89,90.0,bottom
D21,94.96625,-100.89,90.0,bottom
D22,116.3975,-100.89,90.0,bottom
D23,135.4475,-100.89,90.0,bottom
D24,154.4975,-100.89,90.0,bottom
D25,173.5475,-100.89,90.0,bottom
D26,192.5975,-100.89,90.0,bottom
D27,73.535,-119.94,90.0,bottom
D28,94.96625,-119.94,90.0,bottom
D29,116.3975,-119.94,90.0,bottom
D3,135.4475,-43.74,90.0,bottom
D30,136.99237,-128.256934,105.0,bottom
D31,155.393257,-133.187437,105.0,bottom
D32,173.794144,-138.11794,105.0,bottom
D33,192.195031,-143.048442,105.0,bottom
D34,92.76,-36.68,0.0,top
D4,154.4975,-43.74,90.0,bottom
D5,173.5475,-43.74,90.0,bottom
D6,192.5975,-43.74,90.0,bottom
D7,94.96625,-62.79,90.0,bottom
D8,116.3975,-62.79,90.0,bottom
D9,135.4475,-62.79,90.0,bottom
SW1,76.2,-38.1,0.0,top
SW10,147.6375,-57.15,0.0,top
SW11,166.6875,-57.15,0.0,top
SW12,185.7375,-57.15,0.0,top
SW13,66.675,-76.2,0.0,top
SW14,88.10625,-76.2,0.0,top
SW15,109.5375,-76.2,0.0,top
SW16,128.5875,-76.2,0.0,top
SW17,147.6375,-76.2,0.0,top
SW18,166.6875,-76.2,0.0,top
SW19,185.7375,-76.2,0.0,top
SW2,109.5375,-38.1,0.0,top
SW20,66.675,-95.25,0.0,top
SW21,88.10625,-95.25,0.0,top
SW22,109.5375,-95.25,0.0,top
SW23,128.5875,-95.25,0.0,top
SW24,147.6375,-95.25,0.0,top
SW25,166.6875,-95.25,0.0,top
SW26,185.7375,-95.25,0.0,top
SW27,66.675,-114.3,0.0,top
SW28,88.10625,-114.3,0.0,top
SW29,109.5375,-114.3,0.0,top
SW3,128.5875,-38.1,0.0,top
SW30,131.825859,-121.033614,345.0,top
SW31,150.226746,-125.964117,345.0,top
SW32,168.627633,-130.89462,345.0,top
SW33,187.02852,-135.825122,345.0,top
SW4,147.6375,-38.1,0.0,top
SW5,166.6875,-38.1,0.0,top
SW6,185.7375,-38.1,0.0,top
SW7,88.10625,-57.15,0.0,top
SW8,109.5375,-57.15,0.0,top
SW9,128.5875,-57.15,0.0,top
U2,54.93,-72.99,180.0,bottom
